phone_e164,name,address,website,campaign_link
+12154885273,"Donnelly's Cooling, Heating & Plumbing","1 Innovation Drive, Plymouth Meeting, PA 19462, USA",https://www.4donnellys.com/service-area/plymouth-meeting-pa/?utm_source=google&utm_medium=gbp&se_campaign=Google%20Business%20Profile(GBP),https://www.delcotechdivision.com/
+12154980444,Brothers Comfort Services,"300 Brookside Ave Building 4, Suite 125, Ambler, PA 19002, USA",https://brotherscomfortservices.com/,https://www.delcotechdivision.com/
+12674406733,Family Heating & Air Conditioning,"325 Sentry Pkwy #200, Blue Bell, PA 19422, USA",http://familyhvac.com/,https://www.delcotechdivision.com/
+12158026100,"PATRICK’S HVAC Services,Montgomery county ,Pennsylvania, United States","201 Overlook Dr, Schwenksville, PA 19473, USA",https://www.patrickshvacservices.com/,https://www.delcotechdivision.com/
+12159952024,Family Heating & Air Conditioning,"500 W Office Center Dr Suite 400, Fort Washington, PA 19034, USA",https://familyhvac.com/,https://www.delcotechdivision.com/
+12679713639,Daniels HVAC Philadelphia LLC,"1869 E Tulpehocken St, Philadelphia, PA 19138, USA",http://www.danielshvacphiladelphia.com/,https://www.delcotechdivision.com/
+14842465735,"Christian Heating, Cooling, Plumbing and Electrical","252 N Radnor Chester Rd #2F, Villanova, PA 19085, USA",https://www.christianhvac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*391*christian-villanova,https://www.delcotechdivision.com/
+12152928861,That HVAC Guy and Plumbing,"1013 E Pleasant Ave, Wyndmoor, PA 19038, USA",https://www.thathvacguy.com/,https://www.delcotechdivision.com/
+12152847583,AirMaster Heating & Cooling Specialists,"5545 Baynton St, Philadelphia, PA 19144, USA",https://www.airmasterpa.com/?utm_source=gbp&utm_medium=organic&utm_campaign=smp_gbp_philly,https://www.delcotechdivision.com/
+16103481142,Toran Heating & Air Conditioning Inc.,"45 E City Ave, Bala Cynwyd, PA 19004, USA",http://www.toranheating.com/,https://www.delcotechdivision.com/
+14843003452,"PSD Heating and Cooling, LLC","141 4th St, Schwenksville, PA 19473, USA",https://psdheatingandcooling.com/,https://www.delcotechdivision.com/
+12153661001,EMCO Tech Heating & Cooling,"2424 Wyandotte Rd, Willow Grove, PA 19090, USA",https://emcocooling.com/,https://www.delcotechdivision.com/
+12676273946,Chud Cooling & Heating,"1570 Old York Rd, Abington, PA 19001, USA",https://chudcompany.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.delcotechdivision.com/
+12155159693,C&C Heating & Air Conditioning,"800 Hagey Rd, Souderton, PA 18964, USA",https://cc-hvac.com/?utm_source=Google&utm_medium=Google+Business+Profile&utm_campaign=GBP,https://www.delcotechdivision.com/
+12673768482,Hertler Plumbing & HVAC,"437 Pennsylvania Ave, Fort Washington, PA 19034, USA",https://hertlerhvacplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://www.delcotechdivision.com/
